Stock,URL
DRREDDY,https://www.bseindia.com/stock-share-price/DR.REDDY'S-LABORATORIES-LTD./DRREDDY/500124
EIDPARRY,https://www.bseindia.com/stock-share-price/E.I.D.-PARRY-(INDIA)-LTD./EIDPARRY/500125
PGHL,https://www.bseindia.com/stock-share-price/Procter-&-Gamble-Health-Ltd/PGHL/500126
ELECTCAST,https://www.bseindia.com/stock-share-price/ELECTROSTEEL-CASTINGS-LTD./ELECTCAST/500128
ESABINDIA,https://www.bseindia.com/stock-share-price/ESAB-INDIA-LTD./ESABINDIA/500133
EPL,https://www.bseindia.com/stock-share-price/EPL-Ltd/EPL/500135
ESTER,https://www.bseindia.com/stock-share-price/ESTER-INDUSTRIES-LTD./ESTER/500136
FGP,https://www.bseindia.com/stock-share-price/FGP-LTD./FGP/500142
PHCAP,https://www.bseindia.com/stock-share-price/PH-CAPITAL-LTD./PHCAP/500143
FINCABLES,https://www.bseindia.com/stock-share-price/FINOLEX-CABLES-LTD./FINCABLES/500144
COCKERILL,https://www.bseindia.com/stock-share-price/John-Cockerill-India-Ltd-$/COCKERILL/500147
UFLEX,https://www.bseindia.com/stock-share-price/UFLEX-LTD./UFLEX/500148
FOSECOIND,https://www.bseindia.com/stock-share-price/FOSECO-INDIA-LTD./FOSECOIND/500150
GOLDENTOBC,https://www.bseindia.com/stock-share-price/GOLDEN-TOBACCO-LTD./GOLDENTOBC/500151
GANESHBE,https://www.bseindia.com/stock-share-price/GANESH-BENZOPLAST-LTD./GANESHBE/500153
METROGLOBL,https://www.bseindia.com/stock-share-price/Metroglobal-Limited/METROGLOBL/500159
GTL,https://www.bseindia.com/stock-share-price/GTL-LTD./GTL/500160
GODFRYPHLP,https://www.bseindia.com/stock-share-price/GODFREY-PHILLIPS-INDIA-LTD./GODFRYPHLP/500163
GODREJIND,https://www.bseindia.com/stock-share-price/GODREJ-INDUSTRIES-LTD./GODREJIND/500164
KANSAINER,https://www.bseindia.com/stock-share-price/KANSAI-NEROLAC-PAINTS-LTD./KANSAINER/500165
GOODRICKE,https://www.bseindia.com/stock-share-price/GOODRICKE-GROUP-LTD./GOODRICKE/500166
GOODYEAR,https://www.bseindia.com/stock-share-price/GOODYEAR-INDIA-LTD./GOODYEAR/500168
GTNINDS,https://www.bseindia.com/stock-share-price/GTN-INDUSTRIES-LTD./GTNINDS/500170
GHCL,https://www.bseindia.com/stock-share-price/GHCL-LTD./GHCL/500171
GFLLIMITED,https://www.bseindia.com/stock-share-price/GFL-Ltd/GFLLIMITED/500173
GLFL,https://www.bseindia.com/stock-share-price/GUJARAT-LEASE-FINANCING-LTD./GLFL/500174
HCL-INSYS,https://www.bseindia.com/stock-share-price/HCL-INFOSYSTEMS-LTD./HCL-INSYS/500179
HDFCBANK,https://www.bseindia.com/stock-share-price/HDFC-Bank-Ltd/HDFCBANK/500180
HEROMOTOCO,https://www.bseindia.com/stock-share-price/HERO-MOTOCORP-LTD./HEROMOTOCO/500182
HFCL,https://www.bseindia.com/stock-share-price/HFCL-Ltd/HFCL/500183
HSCL,https://www.bseindia.com/stock-share-price/Himadri-Speciality-Chemical-Ltd/HSCL/500184
HCC,https://www.bseindia.com/stock-share-price/HINDUSTAN-CONSTRUCTION-CO.LTD./HCC/500185
HINDOILEXP,https://www.bseindia.com/stock-share-price/HINDUSTAN-OIL-EXPLORATION-CO.LTD./HINDOILEXP/500186
AGI,https://www.bseindia.com/stock-share-price/Agi-Greenpac-Ltd/AGI/500187
HINDZINC,https://www.bseindia.com/stock-share-price/HINDUSTAN-ZINC-LTD./HINDZINC/500188
NXTDIGITAL,https://www.bseindia.com/stock-share-price/Nxtdigital-Ltd/NXTDIGITAL/500189
HMT,https://www.bseindia.com/stock-share-price/HMT-LTD./HMT/500191
PRAGBOS,https://www.bseindia.com/stock-share-price/PRAG-BOSIMI-SYNTHETICS-LTD./PRAGBOS/500192
HLVLTD,https://www.bseindia.com/stock-share-price/HLV-Ltd/HLVLTD/500193
IGPL,https://www.bseindia.com/stock-share-price/I-G-PETROCHEMICALS-LTD./IGPL/500199
INDIAGLYCO,https://www.bseindia.com/stock-share-price/INDIA-GLYCOLS-LTD./INDIAGLYCO/500201
INDLEASE,https://www.bseindia.com/stock-share-price/INDIA-LEASE-DEVELOPMENT-LTD./INDLEASE/500202
MARGOFIN,https://www.bseindia.com/stock-share-price/Margo-Finance-Limited/MARGOFIN/500206
INDORAMA,https://www.bseindia.com/stock-share-price/INDO-RAMA-SYNTHETICS-(INDIA)-LTD./INDORAMA/500207
INFY,https://www.bseindia.com/stock-share-price/INFOSYS-LTD./INFY/500209
INGERRAND,https://www.bseindia.com/stock-share-price/INGERSOLL-RAND-(INDIA)-LTD./INGERRAND/500210
INSILCO,https://www.bseindia.com/stock-share-price/INSILCO-LTD./INSILCO/500211
ITHL,https://www.bseindia.com/stock-share-price/INTERNATIONAL-TRAVEL-HOUSE-LTD.-$/ITHL/500213
IONEXCHANG,https://www.bseindia.com/stock-share-price/ION-EXCHANGE-(INDIA)-LTD.-$/IONEXCHANG/500214
ATFL,https://www.bseindia.com/stock-share-price/AGRO-TECH-FOODS-LTD./ATFL/500215
JISLJALEQS,https://www.bseindia.com/stock-share-price/JAIN-IRRIGATION-SYSTEMS-LTD./JISLJALEQS/500219
JASCH,https://www.bseindia.com/stock-share-price/JASCH-INDUSTRIES-LTD./JASCH/500220
JCTLTD,https://www.bseindia.com/stock-share-price/JCT-LTD./JCTLTD/500223
JINDALPOLY,https://www.bseindia.com/stock-share-price/JINDAL-POLY-FILMS-LTD./JINDALPOLY/500227
JSWSTEEL,https://www.bseindia.com/stock-share-price/JSW-STEEL-LTD./JSWSTEEL/500228
UMANGDAIR,https://www.bseindia.com/stock-share-price/UMANG-DAIRIES-LTD./UMANGDAIR/500231
KAJARIACER,https://www.bseindia.com/stock-share-price/KAJARIA-CERAMICS-LTD./KAJARIACER/500233
KAKATCEM,https://www.bseindia.com/stock-share-price/KAKATIYA-CEMENT-SUGAR-&-INDUSTRIES-LTD./KAKATCEM/500234
KSL,https://www.bseindia.com/stock-share-price/KALYANI-STEELS-LTD./KSL/500235
KANELIND,https://www.bseindia.com/stock-share-price/Kanel-Industries-Limited/KANELIND/500236
WHIRLPOOL,https://www.bseindia.com/stock-share-price/WHIRLPOOL-OF-INDIA-LTD./WHIRLPOOL/500238
KGDENIM,https://www.bseindia.com/stock-share-price/KG-DENIM-LTD./KGDENIM/500239
KINETICENG,https://www.bseindia.com/stock-share-price/KINETIC-ENGINEERING-LTD./KINETICENG/500240
KIRLOSBROS,https://www.bseindia.com/stock-share-price/KIRLOSKAR-BROTHERS-LTD.-$/KIRLOSBROS/500241
KIRLOSIND,https://www.bseindia.com/stock-share-price/Kirloskar-Industries-Ltd/KIRLOSIND/500243
KIRLFER,https://www.bseindia.com/stock-share-price/KIRLOSKAR-FERROUS-INDUSTRIES-LTD./KIRLFER/500245
ENVAIREL,https://www.bseindia.com/stock-share-price/ENVAIR-ELECTRODYNE-LTD./ENVAIREL/500246
KOTAKBANK,https://www.bseindia.com/stock-share-price/KOTAK-MAHINDRA-BANK-LTD./KOTAKBANK/500247
KRIFILIND,https://www.bseindia.com/stock-share-price/Krishna-Filament-Industries-Ltd/KRIFILIND/500248
KSB,https://www.bseindia.com/stock-share-price/KSB-Ltd/KSB/500249
LGBBROSLTD,https://www.bseindia.com/stock-share-price/L.G.BALAKRISHNAN-&-BROS.LTD./LGBBROSLTD/500250
TRENT,https://www.bseindia.com/stock-share-price/TRENT-LTD./TRENT/500251
LAXMIMACH,https://www.bseindia.com/stock-share-price/LAKSHMI-MACHINE-WORKS-LTD./LAXMIMACH/500252
LICHSGFIN,https://www.bseindia.com/stock-share-price/LIC-HOUSING-FINANCE-LTD./LICHSGFIN/500253
LUPIN,https://www.bseindia.com/stock-share-price/LUPIN-LTD./LUPIN/500257
LYKALABS,https://www.bseindia.com/stock-share-price/LYKA-LABS-LTD./LYKALABS/500259
RAMCOCEM,https://www.bseindia.com/stock-share-price/The-Ramco-Cements-Limited/RAMCOCEM/500260
MAFATIND,https://www.bseindia.com/stock-share-price/MAFATLAL-INDUSTRIES-LTD.-$/MAFATIND/500264
MAHSEAMLES,https://www.bseindia.com/stock-share-price/MAHARASHTRA-SEAMLESS-LTD./MAHSEAMLES/500265
MAHSCOOTER,https://www.bseindia.com/stock-share-price/MAHARASHTRA-SCOOTERS-LTD./MAHSCOOTER/500266
MAJESAUT,https://www.bseindia.com/stock-share-price/MAJESTIC-AUTO-LTD.-$/MAJESAUT/500267
MANALIPETC,https://www.bseindia.com/stock-share-price/MANALI-PETROCHEMICAL-LTD./MANALIPETC/500268
BARODARY,https://www.bseindia.com/stock-share-price/BARODA-RAYON-CORPORATION-LTD./BARODARY/500270
MFSL,https://www.bseindia.com/stock-share-price/Max-Financial-Services-Ltd/MFSL/500271
MIDINDIA,https://www.bseindia.com/stock-share-price/MID-INDIA-INDUSTRIES-LTD./MIDINDIA/500277
MIRCELECTR,https://www.bseindia.com/stock-share-price/MIRC-ELECTRONICS-LTD./MIRCELECTR/500279
CENTENKA,https://www.bseindia.com/stock-share-price/CENTURY-ENKA-LTD./CENTENKA/500280
LORDSCHLO,https://www.bseindia.com/stock-share-price/LORDS-CHLORO-ALKALI-LTD./LORDSCHLO/500284
SPICEJET,https://www.bseindia.com/stock-share-price/SPICEJET-LTD./SPICEJET/500285
MOREPENLAB,https://www.bseindia.com/stock-share-price/MOREPEN-LABORATORIES-LTD./MOREPENLAB/500288
MRF,https://www.bseindia.com/stock-share-price/MRF-LTD./MRF/500290
HEIDELBERG,https://www.bseindia.com/stock-share-price/HEIDELBERGCEMENT-INDIA-LTD./HEIDELBERG/500292
NCC,https://www.bseindia.com/stock-share-price/NCC-Limited/NCC/500294
VEDL,https://www.bseindia.com/stock-share-price/Vedanta-Limited/VEDL/500295
NAHARSPING,https://www.bseindia.com/stock-share-price/NAHAR-SPINNING-MILLS-LTD./NAHARSPING/500296
NATPEROX,https://www.bseindia.com/stock-share-price/NATIONAL-PEROXIDE-LTD./NATPEROX/500298
GRASIM,https://www.bseindia.com/stock-share-price/GRASIM-INDUSTRIES-LTD./GRASIM/500300
PEL,https://www.bseindia.com/stock-share-price/PIRAMAL-ENTERPRISES-LTD./PEL/500302
NIITLTD,https://www.bseindia.com/stock-share-price/NIIT-LTD./NIITLTD/500304
JAYKAY,https://www.bseindia.com/stock-share-price/JAYKAY-ENTERPRISES-LTD./JAYKAY/500306
NIRLON,https://www.bseindia.com/stock-share-price/NIRLON-LTD./NIRLON/500307
ONGC,https://www.bseindia.com/stock-share-price/Oil-and-Natural-Gas-Corporation-Ltd/ONGC/500312
OILCOUNTUB,https://www.bseindia.com/stock-share-price/OIL-COUNTRY-TUBULAR-LTD./OILCOUNTUB/500313
ORIENTHOT,https://www.bseindia.com/stock-share-price/ORIENTAL-HOTELS-LTD./ORIENTHOT/500314
OSWALAGRO,https://www.bseindia.com/stock-share-price/OSWAL-AGRO-MILLS-LTD./OSWALAGRO/500317
INDSUCR,https://www.bseindia.com/stock-share-price/INDIAN-SUCROSE-LTD./INDSUCR/500319
RELIANCE,https://www.bseindia.com/stock-share-price/RELIANCE-INDUSTRIES-LTD./RELIANCE/500325
PILITA,https://www.bseindia.com/stock-share-price/Pil-Italica-Lifestyle-Ltd/PILITA/500327
RAYMOND,https://www.bseindia.com/stock-share-price/RAYMOND-LTD./RAYMOND/500330
PIDILITIND,https://www.bseindia.com/stock-share-price/PIDILITE-INDUSTRIES-LTD./PIDILITIND/500331
PIXTRANS,https://www.bseindia.com/stock-share-price/PIX-TRANSMISSIONS-LTD./PIXTRANS/500333
BIRLACORPN,https://www.bseindia.com/stock-share-price/BIRLA-CORPORATION-LTD./BIRLACORPN/500335
SURYAROSNI,https://www.bseindia.com/stock-share-price/SURYA-ROSHNI-LTD./SURYAROSNI/500336
PRIMESECU,https://www.bseindia.com/stock-share-price/PRIME-SECURITIES-LTD./PRIMESECU/500337
PRSMJOHNSN,https://www.bseindia.com/stock-share-price/Prism-Johnson-Ltd/PRSMJOHNSN/500338
RAIN,https://www.bseindia.com/stock-share-price/Rain-Industries-Ltd/RAIN/500339
AMJLAND,https://www.bseindia.com/stock-share-price/AMJ-Land-Holdings-Ltd/AMJLAND/500343
PUNJCOMMU,https://www.bseindia.com/stock-share-price/PUNJAB-COMMUNICATIONS-LTD.-$/PUNJCOMMU/500346
RSWM,https://www.bseindia.com/stock-share-price/RSWM-LTD./RSWM/500350
RAJSREESUG,https://www.bseindia.com/stock-share-price/RAJSHREE-SUGARS-&-CHEMICALS-LTD./RAJSREESUG/500354
RALLIS,https://www.bseindia.com/stock-share-price/RALLIS-INDIA-LTD./RALLIS/500355
RAMANEWS,https://www.bseindia.com/stock-share-price/SHREE-RAMA-NEWSPRINT-LTD./RAMANEWS/500356
RAMAPPR-B,https://www.bseindia.com/stock-share-price/RAMA-PAPER-MILLS-LTD./RAMAPPR-B/500357
RAMAPETRO,https://www.bseindia.com/stock-share-price/RAMA-PETROCHEMICALS-LTD./RAMAPETRO/500358
RAPICUT,https://www.bseindia.com/stock-share-price/RAPICUT-CARBIDES-LTD./RAPICUT/500360
WELSPLSOL,https://www.bseindia.com/stock-share-price/Welspun-Specialty-Solutions-Ltd/WELSPLSOL/500365
ROLTA,https://www.bseindia.com/stock-share-price/ROLTA-INDIA-LTD./ROLTA/500366
RUBFILA,https://www.bseindia.com/stock-share-price/RUBFILA-INTERNATIONAL-LTD./RUBFILA/500367
PATANJALI,https://www.bseindia.com/stock-share-price/Patanjali-Foods-Ltd/PATANJALI/500368
SALORAINTL,https://www.bseindia.com/stock-share-price/SALORA-INTERNATIONAL-LTD./SALORAINTL/500370
JINDALSAW,https://www.bseindia.com/stock-share-price/JINDAL-SAW-LTD./JINDALSAW/500378
JKLAKSHMI,https://www.bseindia.com/stock-share-price/JK-LAKSHMI-CEMENT-LTD./JKLAKSHMI/500380
SHREECEM,https://www.bseindia.com/stock-share-price/SHREE-CEMENT-LTD./SHREECEM/500387
SKPMIL,https://www.bseindia.com/stock-share-price/SHREE-KRISHNA-PAPER-MILLS-&-INDUSTRIES-LTD./SKPMIL/500388
RELINFRA,https://www.bseindia.com/stock-share-price/RELIANCE-INFRASTRUCTURE-LTD./RELINFRA/500390
TATAPOWER,https://www.bseindia.com/stock-share-price/TATA-POWER-CO.LTD./TATAPOWER/500400
SPMLINFRA,https://www.bseindia.com/stock-share-price/SPML-Infra-Limited/SPMLINFRA/500402
SUNDRMFAST,https://www.bseindia.com/stock-share-price/SUNDRAM-FASTENERS-LTD./SUNDRMFAST/500403
SUNFLAG,https://www.bseindia.com/stock-share-price/SUNFLAG-IRON-&-STEEL-CO.LTD./SUNFLAG/500404
SPLPETRO,https://www.bseindia.com/stock-share-price/SUPREME-PETROCHEM-LTD./SPLPETRO/500405
SWARAJENG,https://www.bseindia.com/stock-share-price/SWARAJ-ENGINES-LTD./SWARAJENG/500407
TATAELXSI,https://www.bseindia.com/stock-share-price/TATA-ELXSI-LTD./TATAELXSI/500408
ACC,https://www.bseindia.com/stock-share-price/ACC-LTD./ACC/500410
THERMAX,https://www.bseindia.com/stock-share-price/THERMAX-LTD./THERMAX/500411
TIRUMALCHM,https://www.bseindia.com/stock-share-price/THIRUMALAI-CHEMICALS-LTD./TIRUMALCHM/500412
THOMASCOOK,https://www.bseindia.com/stock-share-price/THOMAS-COOK-(INDIA)-LTD./THOMASCOOK/500413
TIMEX,https://www.bseindia.com/stock-share-price/TIMEX-GROUP-INDIA-LTD.-$/TIMEX/500414
TOKYOPLAST,https://www.bseindia.com/stock-share-price/TOKYO-PLAST-INTERNATIONAL-LTD./TOKYOPLAST/500418
TORNTPHARM,https://www.bseindia.com/stock-share-price/TORRENT-PHARMACEUTICALS-LTD./TORNTPHARM/500420
TRANSCHEM,https://www.bseindia.com/stock-share-price/TRANSCHEM-LTD.-$/TRANSCHEM/500422
AMBUJACEM,https://www.bseindia.com/stock-share-price/AMBUJA-CEMENTS-LTD./AMBUJACEM/500425
UTLINDS,https://www.bseindia.com/stock-share-price/UTL-Industries-Limited/UTLINDS/500426
UNIPHOS,https://www.bseindia.com/stock-share-price/UNIPHOS-ENTERPRISES-LTD./UNIPHOS/500429
VHL,https://www.bseindia.com/stock-share-price/VARDHMAN-HOLDINGS-LTD./VHL/500439
