Stock,URL
ABB,https://www.bseindia.com/stock-share-price/ABB-India-Limited/ABB/500002
AEGISLOG,https://www.bseindia.com/stock-share-price/AEGIS-LOGISTICS-LTD./AEGISLOG/500003
AMARAJABAT,https://www.bseindia.com/stock-share-price/AMARA-RAJA-BATTERIES-LTD./AMARAJABAT/500008
AMBALALSA,https://www.bseindia.com/stock-share-price/AMBALAL-SARABHAI-ENTERPRISES-LTD./AMBALALSA/500009
HDFC,https://www.bseindia.com/stock-share-price/HOUSING-DEVELOPMENT-FINANCE-CORP.LTD./HDFC/500010
ANDHRAPET,https://www.bseindia.com/stock-share-price/ANDHRA-PETROCHEMICALS-LTD./ANDHRAPET/500012
ANSALAPI,https://www.bseindia.com/stock-share-price/ANSAL-PROPERTIES-&-INFRASTRUCTURE-LTD./ANSALAPI/500013
UTIQUE,https://www.bseindia.com/stock-share-price/Utique-Enterprises-Ltd/UTIQUE/500014
ARUNAHTEL,https://www.bseindia.com/stock-share-price/ARUNA-HOTELS-LTD./ARUNAHTEL/500016
BOMDYEING,https://www.bseindia.com/stock-share-price/BOMBAY-DYEING-&-MFG.CO.LTD./BOMDYEING/500020
ASIANHOTNR,https://www.bseindia.com/stock-share-price/Asian-Hotels-(North)-Limited/ASIANHOTNR/500023
ATUL,https://www.bseindia.com/stock-share-price/ATUL-LTD./ATUL/500027
ATVPR,https://www.bseindia.com/stock-share-price/ATV-PROJECTS-INDIA-LTD./ATVPR/500028
BAJAJELEC,https://www.bseindia.com/stock-share-price/BAJAJ-ELECTRICALS-LTD.-$/BAJAJELEC/500031
BAJAJHIND,https://www.bseindia.com/stock-share-price/Bajaj-Hindusthan-Sugar-Limited/BAJAJHIND/500032
FORCEMOT,https://www.bseindia.com/stock-share-price/FORCE-MOTORS-LTD.-$/FORCEMOT/500033
BAJFINANCE,https://www.bseindia.com/stock-share-price/Bajaj-Finance-Limited/BAJFINANCE/500034
BALRAMCHIN,https://www.bseindia.com/stock-share-price/BALRAMPUR-CHINI-MILLS-LTD./BALRAMCHIN/500038
BANCOINDIA,https://www.bseindia.com/stock-share-price/BANCO-PRODUCTS-(INDIA)-LTD.-$/BANCOINDIA/500039
CENTURYTEX,https://www.bseindia.com/stock-share-price/CENTURY-TEXTILES-&-INDUSTRIES-LTD./CENTURYTEX/500040
BANARISUG,https://www.bseindia.com/stock-share-price/BANNARI-AMMAN-SUGARS-LTD./BANARISUG/500041
BASF,https://www.bseindia.com/stock-share-price/BASF-INDIA-LTD./BASF/500042
BATAINDIA,https://www.bseindia.com/stock-share-price/BATA-INDIA-LTD./BATAINDIA/500043
