Stock,URL
BERYLSE,https://www.bseindia.com/stock-share-price/BERYL-SECURITIES-LTD./BERYLSE/531582
RAP,https://www.bseindia.com/stock-share-price/RAP-MEDIA-LTD./RAP/531583
DEVINE,https://www.bseindia.com/stock-share-price/DEVINE-IMPEX-LTD./DEVINE/531585
BAMPSL,https://www.bseindia.com/stock-share-price/BAMPSL-SECURITIES-LTD./BAMPSL/531591
GENPHARMA,https://www.bseindia.com/stock-share-price/Genpharmasec-Ltd/GENPHARMA/531592
INCON,https://www.bseindia.com/stock-share-price/INCON-ENGINEERS-LTD./INCON/531594
CGCL,https://www.bseindia.com/stock-share-price/Capri-Global-Capital-Limited/CGCL/531595
FDC,https://www.bseindia.com/stock-share-price/FDC-LTD./FDC/531599
GOGIACAP,https://www.bseindia.com/stock-share-price/Gogia-Capital-Services-Limited/GOGIACAP/531600
GORANIN,https://www.bseindia.com/stock-share-price/GORANI-INDUSTRIES-LTD./GORANIN/531608
KGPETRO,https://www.bseindia.com/stock-share-price/KG-PETROCHEM-LTD./KGPETRO/531609
MAL,https://www.bseindia.com/stock-share-price/Meyer-Apparel-Ltd/MAL/531613
STARCOM,https://www.bseindia.com/stock-share-price/Starcom-Information-Technology-Ltd/STARCOM/531616
COUNCODOS,https://www.bseindia.com/stock-share-price/COUNTRY-CONDO'S-LTD./COUNCODOS/531624
OROSMITHS,https://www.bseindia.com/stock-share-price/OROSIL-SMITHS-INDIA-LTD.-$/OROSMITHS/531626
TEJASSVI,https://www.bseindia.com/stock-share-price/Tejassvi-Aaharam-Ltd/TEJASSVI/531628
LINCOPH,https://www.bseindia.com/stock-share-price/LINCOLN-PHARMACEUTICALS-LTD./LINCOPH/531633
SILVOAK,https://www.bseindia.com/stock-share-price/SILVER-OAK-(INDIA)-LTD./SILVOAK/531635
PRAVEG,https://www.bseindia.com/stock-share-price/Praveg-Communications-(India)-Ltd/PRAVEG/531637
SURAJLTD,https://www.bseindia.com/stock-share-price/SURAJ-LTD.-$/SURAJLTD/531638
SICL,https://www.bseindia.com/stock-share-price/Suvidha-Infraestate-Corporation-Limited/SICL/531640
MARICO,https://www.bseindia.com/stock-share-price/MARICO-LTD./MARICO/531642
TOKYOFIN,https://www.bseindia.com/stock-share-price/TOKYO-FINANCE-LTD./TOKYOFIN/531644
NATGENI,https://www.bseindia.com/stock-share-price/NATIONAL-GENERAL-INDUSTRIES-LTD./NATGENI/531651
THIRDFIN,https://www.bseindia.com/stock-share-price/THIRDWAVE-FINANCIAL-INTERMEDIARIES-LTD./THIRDFIN/531652
HITTCO,https://www.bseindia.com/stock-share-price/HITTCO-TOOLS-LTD./HITTCO/531661
RRMETAL,https://www.bseindia.com/stock-share-price/RR-MetalMakers-India-Ltd/RRMETAL/531667
VISIONCO,https://www.bseindia.com/stock-share-price/VISION-CORPORATION-LTD./VISIONCO/531668
INANISEC,https://www.bseindia.com/stock-share-price/INANI-SECURITIES-LTD./INANISEC/531672
ANKIN,https://www.bseindia.com/stock-share-price/ANKA-INDIA-LTD./ANKIN/531673
VAGHANI,https://www.bseindia.com/stock-share-price/VAGHANI-TECHNO-BUILD-LTD./VAGHANI/531676
MAYUR,https://www.bseindia.com/stock-share-price/MAYUR-LEATHER-PRODUCTS-LTD./MAYUR/531680
AMERISE,https://www.bseindia.com/stock-share-price/Amerise-Biosciences-Ltd/AMERISE/531681
PRITHVIEXCH,https://www.bseindia.com/stock-share-price/Prithvi-Exchange-(India)-Ltd/PRITHVIEXCH/531688
RAINBOWF,https://www.bseindia.com/stock-share-price/RAINBOW-FOUNDATIONS-LTD./RAINBOWF/531694
TRICOMFRU,https://www.bseindia.com/stock-share-price/Tricom-Fruit-Products-Limited/TRICOMFRU/531716
VIDHIING,https://www.bseindia.com/stock-share-price/Vidhi-Specialty-Food-Ingredients-Ltd-$/VIDHIING/531717
BHAGCHEM,https://www.bseindia.com/stock-share-price/BHAGIRADHA-CHEMICALS-&-INDUSTRIES-LTD./BHAGCHEM/531719
PANCHSHEEL,https://www.bseindia.com/stock-share-price/PANCHSHEEL-ORGANICS-LTD./PANCHSHEEL/531726
MENNPIS,https://www.bseindia.com/stock-share-price/MENON-PISTONS-LTD./MENNPIS/531727
PRISMFN,https://www.bseindia.com/stock-share-price/PRISM-FINANCE-LTD./PRISMFN/531735
GREENCREST,https://www.bseindia.com/stock-share-price/Greencrest-Financial-Services-Limited/GREENCREST/531737
GENNEX,https://www.bseindia.com/stock-share-price/GENNEX-LABORATORIES-LTD./GENNEX/531739
HIRAUTO,https://www.bseindia.com/stock-share-price/HIRA-AUTOMOBILES-LTD./HIRAUTO/531743
GINISILK,https://www.bseindia.com/stock-share-price/GINI-SILK-MILLS-LTD.-$/GINISILK/531744
PRAENG,https://www.bseindia.com/stock-share-price/PRAJAY-ENGINEERS-SYNDICATE-LTD./PRAENG/531746
BIOGEN,https://www.bseindia.com/stock-share-price/Biogen-Pharmachem-Industries-Ltd/BIOGEN/531752
GKCONS,https://www.bseindia.com/stock-share-price/G.K.CONSULTANTS-LTD./GKCONS/531758
APOLLOPIPES,https://www.bseindia.com/stock-share-price/Apollo-Pipes-Ltd/APOLLOPIPES/531761
UNJHAFOR,https://www.bseindia.com/stock-share-price/UNJHA-FORMULATIONS-LTD./UNJHAFOR/531762
POLYMED,https://www.bseindia.com/stock-share-price/POLY-MEDICURE-LTD./POLYMED/531768
CISTRO,https://www.bseindia.com/stock-share-price/CISTRO-TELELINK-LTD./CISTRO/531775
KACHCHH,https://www.bseindia.com/stock-share-price/KACHCHH-MINERALS-LTD./KACHCHH/531778
KACL,https://www.bseindia.com/stock-share-price/Kaiser-Corporation-Limited/KACL/531780
KCLINFRA,https://www.bseindia.com/stock-share-price/KCL-Infra-Projects-Ltd/KCLINFRA/531784
ATULAUTO,https://www.bseindia.com/stock-share-price/ATUL-AUTO-LTD.-$/ATULAUTO/531795
SCANPRO,https://www.bseindia.com/stock-share-price/SCAN-PROJECTS-LTD./SCANPRO/531797
PRERINFRA,https://www.bseindia.com/stock-share-price/PRERNA-INFRABUILD-LTD./PRERINFRA/531802
METALCO,https://www.bseindia.com/stock-share-price/METAL-COATINGS-(INDIA)-LTD./METALCO/531810
SGNTE,https://www.bseindia.com/stock-share-price/SGN-TELECOMS-LTD./SGNTE/531812
GANGAPA,https://www.bseindia.com/stock-share-price/GANGA-PAPERS-INDIA-LTD./GANGAPA/531813
TIRSARJ,https://www.bseindia.com/stock-share-price/TIRUPATI-SARJAN-LTD./TIRSARJ/531814
MUNOTHFI,https://www.bseindia.com/stock-share-price/MUNOTH-FINANCIAL-SERVICES-LTD./MUNOTHFI/531821
RODIUM,https://www.bseindia.com/stock-share-price/Rodium-Realty-Limited/RODIUM/531822
NATHUEC,https://www.bseindia.com/stock-share-price/NATURA-HUE-CHEM-LTD./NATHUEC/531834
INDUSFINL,https://www.bseindia.com/stock-share-price/Indus-Finance-Ltd/INDUSFINL/531841
LAHOTIOV,https://www.bseindia.com/stock-share-price/LAHOTI-OVERSEAS-LTD.-$/LAHOTIOV/531842
ZENITHSTL,https://www.bseindia.com/stock-share-price/Zenith-Steel-Pipes-&-Industries-Ltd-$/ZENITHSTL/531845
TRINITYLEA,https://www.bseindia.com/stock-share-price/TRINITY-LEAGUE-INDIA-LTD./TRINITYLEA/531846
ASTAR,https://www.bseindia.com/stock-share-price/ASIAN-STAR-CO.LTD.-$/ASTAR/531847
ORIRAIL,https://www.bseindia.com/stock-share-price/Oriental-Rail-Infrastructure-Ltd/ORIRAIL/531859
JOINDRE,https://www.bseindia.com/stock-share-price/JOINDRE-CAPITAL-SERVICES-LTD./JOINDRE/531861
BHARATAGRI,https://www.bseindia.com/stock-share-price/BHARAT-AGRI-FERT-&-REALTY-LTD./BHARATAGRI/531862
UNITINT,https://www.bseindia.com/stock-share-price/UNITECH-INTERNATIONAL-LTD./UNITINT/531867
SACHEMT,https://www.bseindia.com/stock-share-price/SACHETA-METALS-LTD./SACHEMT/531869
ANJANIFIN,https://www.bseindia.com/stock-share-price/ANJANI-FINANCE-LTD./ANJANIFIN/531878
PIONDIST,https://www.bseindia.com/stock-share-price/PIONEER-DISTILLERIES-LTD./PIONDIST/531879
SVAINDIA,https://www.bseindia.com/stock-share-price/SVA-INDIA-LTD./SVAINDIA/531885
RAHME,https://www.bseindia.com/stock-share-price/RAHUL-MERCHANDISING-LTD./RAHME/531887
REXNORD,https://www.bseindia.com/stock-share-price/REXNORD-ELECTRONICS-&-CONTROLS-LTD./REXNORD/531888
KHANDSE,https://www.bseindia.com/stock-share-price/KHANDWALA-SECURITIES-LTD./KHANDSE/531892
SAWABUSI,https://www.bseindia.com/stock-share-price/SAWACA-BUSINESS-MACHINES-LTD./SAWABUSI/531893
CCLINTER,https://www.bseindia.com/stock-share-price/CCL-INTERNATIONAL-LTD./CCLINTER/531900
GALLOPENT,https://www.bseindia.com/stock-share-price/GALLOPS-ENTERPRISE-LTD./GALLOPENT/531902
CROISSANCE,https://www.bseindia.com/stock-share-price/Croissance-Ltd/CROISSANCE/531909
MADHUVEER,https://www.bseindia.com/stock-share-price/Madhuveer-Com-18-Network-Ltd/MADHUVEER/531910
GALAGEX,https://www.bseindia.com/stock-share-price/GALAXY-AGRICO-EXPORTS-LTD./GALAGEX/531911
GOPAIST,https://www.bseindia.com/stock-share-price/GOPAL-IRON-&-STEELS-CO.(GUJARAT)-LTD./GOPAIST/531913
HINDAPL,https://www.bseindia.com/stock-share-price/HINDUSTAN-APPLIANCES-LTD./HINDAPL/531918
AGARIND,https://www.bseindia.com/stock-share-price/AGARWAL-INDUSTRIAL-CORPORATION-LTD./AGARIND/531921
DHAMPURE,https://www.bseindia.com/stock-share-price/DHAMPURE-SPECIALITY-SUGARS-LTD./DHAMPURE/531923
SHAQUAK,https://www.bseindia.com/stock-share-price/SHANTANU-SHEOREY-AQUAKULT-LTD./SHAQUAK/531925
GOLCA,https://www.bseindia.com/stock-share-price/GOLDEN-CARPETS-LTD./GOLCA/531928
INNOCORP,https://www.bseindia.com/stock-share-price/INNOCORP-LTD./INNOCORP/531929
SARTHAKIND,https://www.bseindia.com/stock-share-price/SARTHAK-INDUSTRIES-LTD./SARTHAKIND/531930
SAICAPI,https://www.bseindia.com/stock-share-price/SAI-CAPITAL-LTD./SAICAPI/531931
CHADPAP,https://www.bseindia.com/stock-share-price/CHADHA-PAPERS-LTD./CHADPAP/531946
VERTEX,https://www.bseindia.com/stock-share-price/VERTEX-SECURITIES-LTD./VERTEX/531950
RIBATEX,https://www.bseindia.com/stock-share-price/RIBA-TEXTILES-LTD./RIBATEX/531952
SHREMETAL,https://www.bseindia.com/stock-share-price/SHREE-METALLOYS-LTD./SHREMETAL/531962
IITLPROJ,https://www.bseindia.com/stock-share-price/IITL-PROJECTS-LIMITED/IITLPROJ/531968
HARIGOV,https://www.bseindia.com/stock-share-price/HARI-GOVIND-INTERNATIONAL-LTD./HARIGOV/531971
CHLOGIST,https://www.bseindia.com/stock-share-price/CHARTERED-LOGISTICS-LTD./CHLOGIST/531977
AMBIKCO,https://www.bseindia.com/stock-share-price/AMBIKA-COTTON-MILLS-LTD./AMBIKCO/531978
HINDALUMI,https://www.bseindia.com/stock-share-price/HIND-ALUMINIUM-INDUSTRIES-LTD.-$/HINDALUMI/531979
SENINFO,https://www.bseindia.com/stock-share-price/Senthil-Infotek-Ltd/SENINFO/531980
SPECFOOD,https://www.bseindia.com/stock-share-price/SPECTRUM-FOODS-LTD./SPECFOOD/531982
AMRAAGRI,https://www.bseindia.com/stock-share-price/AMRAWORLD-AGRICO-LTD./AMRAAGRI/531991
