SCRIP NAME,Security Name,GROUP,FACE VALUE,INDUSTRY,SECTOR,Previous Close,Open,High,Low,VWAP,52 Wk High,52 Wk Low,Upper Price Band,Lower Price Band,2W Avg Qty`(Lakh),TTQ (Lakh),Turnover (Cr.),Mcap Full (Cr.),Mcap FF (Cr.),Face Value,EPS (TTM) ,CEPS (TTM),PE,PB,ROE,Turnover (Lakh)
UTTAMSUGAR,UTTAM SUGAR MILLS LTD.,B ,10.00,Sugar,Fast Moving Consumer Goods,270.1,276.1,279.95,268.25,274.01,337.3,152.3,330.90(20%),220.60(20%),0.37,0.47,1.28,1051.66,273.43,10.0,35.38,44.08,7.79,2.27,29.15,
SGL,STL GLOBAL LTD.,B ,10.00,Other Textile Products,Consumer Discretionary,28.3,27.8,28.4,27.35,27.77,38.95,11.59,33.65(20%),22.45(20%),,,,77,25.41,10.0,1.28,1.73,21.98,2.63,11.98,0.46
KKCL,KEWAL KIRAN CLOTHING LTD.,B ,10.00,Garments & Apparels,Consumer Discretionary,341.0,343.45,359.15,338.45,349.96,359.15,153.4,423.60(20%),282.40(20%),0.42,0.64,2.23,2175.37,565.6,10.0,15.37,16.53,22.97,4.55,19.8,
SUNTV,SUN TV NETWORK LTD.,A ,5.00,TV Broadcasting & Software Production,Consumer Discretionary,469.45,474.0,476.6,469.05,473.07,611.25,402.55,519.60(10%),425.20(10%),0.56,0.22,1.04,18616.56,4654.14,1.0,41.74,49.01,11.32,2.31,20.42,
GPIL,GODAWARI POWER & ISPAT LTD.,A ,5.00,Iron & Steel Products,Industrials,280.2,284.3,287.95,283.1,285.36,497.45,223.2,343.00(20%),228.70(20%),0.28,0.21,,4028.91,1289.25,5.0,88.83,96.12,3.22,1.3,40.47,60.42
RSYSTEMINT,R Systems International Limited,B ,1.00,IT Enabled Services,Information Technology,244.1,245.0,255.5,244.55,249.86,354.55,185.0,297.15(20%),198.15(20%),,0.17,,2929.78,380.87,10.0,9.99,11.33,24.78,8.28,33.4,41.29
EMKAY,EMKAY GLOBAL FINANCIAL SERVICES LTD.,B ,10.00,Stockbroking & Allied,Financial Services,72.4,74.5,74.75,73.45,74.32,147.5,61.05,88.10(20%),58.80(20%),,,,180.98,45.25,10.0,5.4,8.38,13.59,1.25,9.22,1.93
TANTIACONS,TANTIA CONSTRUCTIONS LTD.,Z ,10.00,Civil Construction,Industrials,10.75,10.5,10.6,10.26,10.44,33.85,5.61,11.13(5%),10.07(5%),,,,19.95,5.39,10.0,17.51,19.24,0.61,0.14,23.67,0.54
LOKESHMACH,LOKESH MACHINES LTD.,B ,10.00,Industrial Equipments,Industrials,92.8,92.85,94.6,91.0,93.08,108.8,37.55,109.80(20%),73.20(20%),0.18,0.12,,163.76,76.97,1.0,3.55,8.59,25.8,1.1,4.25,10.86
KAMDHENU,Kamdhenu Ltd,B ,10.00,Iron & Steel Products,Industrials,202.6,198.5,206.15,198.5,204.09,280.0,151.55,245.30(20%),163.60(20%),,,,550.7,198.25,10.0,11.43,14.42,17.89,2.52,14.11,17.39
PAUSHAKLTD,PAUSHAK LTD.,A ,10.00,Specialty Chemicals,Commodities,9983.35,10027.05,10070.0,9961.05,10020.47,12400.0,7800.0,"12,036.30(20%)","8,024.20(20%)",,,,3091.44,896.52,10.0,122.07,151.37,82.17,10.12,12.31,71.35
GTNTEX,GTN TEXTILES LTD.,X ,10.00,Other Textile Products,Consumer Discretionary,12.92,13.41,13.41,12.76,13.2,22.15,6.78,13.44(5%),12.16(5%),,,,14.9,5.21,10.0,-12.07,-9.51,-1.06,0.32,-29.92,0.94
INDICAP,Inditrade Capital Limited,X ,10.00,Other Financial Services,Financial Services,29.0,29.9,30.3,28.9,29.8,45.45,24.45,35.85(20%),23.95(20%),0.24,0.35,,69.83,18.16,10.0,-0.56,0.09,-53.22,0.77,-1.45,10.53
