SCRIP NAME,Security Name,GROUP,FACE VALUE,INDUSTRY,SECTOR,Previous Close,Open,High,Low,VWAP,52 Wk High,52 Wk Low,Upper Price Band,Lower Price Band,2W Avg Qty`(Lakh),TTQ (Lakh),Turnover (Cr.),Mcap Full (Cr.),Mcap FF (Cr.),Face Value,EPS (TTM) ,CEPS (TTM),PE,PB,ROE,Turnover (Lakh)
ABB,ABB India Limited,A ,2.00,Heavy Electrical Equipment,Industrials,2667.9,2694.0,2740.5,2679.25,2712.1,2834.1,1619.3,"2,955.60(10%)","2,418.30(10%)",0.19,,1.52,56938.72,14234.68,2.0,35.46,40.33,75.77,14.08,18.58,
AEGISLOG,AEGIS LOGISTICS LTD.,A ,1.00,Trading - Gas,Energy,267.8,267.8,271.8,263.6,267.38,291.0,167.45,318.20(20%),212.20(20%),1.35,0.52,1.38,9308.52,3444.15,1.0,12.87,14.16,20.6,6.08,29.51,
AMARAJABAT,AMARA RAJA BATTERIES LTD.,A ,1.00,Batteries - Automobile,Consumer Discretionary,505.25,505.35,509.5,503.05,506.45,781.0,438.15,555.20(10%),454.30(10%),0.38,0.16,,8621.76,5000.62,1.0,29.93,53.1,16.86,1.89,11.23,80.29
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,X ,10.00,Pharmaceuticals,Healthcare,29.8,29.95,30.5,29.9,30.32,47.0,27.4,36.15(20%),24.15(20%),0.69,0.52,,231.05,159.42,10.0,0.39,0.41,78.16,6.85,8.77,15.65
HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,A ,2.00,Housing Finance Company,Financial Services,2360.4,2361.0,2362.35,2336.55,2351.98,3021.1,2026.55,"2,589.10(10%)","2,118.40(10%)",2.68,0.16,3.79,427079.97,422809.17,2.0,79.42,80.46,29.64,3.55,11.98,
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,B ,10.00,Commodity Chemicals,Commodities,89.7,89.7,91.2,88.2,89.43,197.4,72.0,106.65(20%),71.15(20%),1.61,1.45,1.3,755.4,385.25,1.0,26.68,28.35,3.33,1.5,45.02,
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,B ,5.00,Residential- Commercial Projects,Consumer Discretionary,16.6,16.1,16.85,15.95,16.17,22.37,8.5,16.90(5%),15.30(5%),,0.24,,253.42,129.24,5.0,-0.67,-0.6,-24.09,1.4,-5.83,3.81
UTIQUE,Utique Enterprises Ltd,X ,10.00,Non Banking Financial Company (NBFC),Financial Services,4.98,4.98,5.19,4.95,5.03,13.86,2.53,5.95(20%),3.97(20%),0.36,0.51,,27.61,19.05,5.0,2.21,2.23,2.24,0.61,27.01,2.58
ARUNAHTEL,ARUNA HOTELS LTD.,X ,10.00,Hotels & Resorts,Consumer Discretionary,14.72,14.92,15.45,13.95,14.96,18.19,8.0,17.41(20%),11.61(20%),0.25,0.23,,49.19,21.64,10.0,-0.73,-0.5,-19.76,2.54,-12.86,3.43
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,A ,2.00,Other Textile Products,Consumer Discretionary,100.45,100.45,102.1,99.85,101.02,140.6,81.3,121.70(20%),81.20(20%),2.46,1.99,2.01,2095.3,963.84,10.0,-22.29,-20.71,-4.55,-2.76,60.71,
ASIANHOTNR,Asian Hotels (North) Limited,B ,10.00,Hotels & Resorts,Consumer Discretionary,83.9,85.5,85.5,82.9,84.03,105.0,68.0,101.50(20%),67.70(20%),,,,164.57,79,10.0,-64.16,-51.25,-1.32,0.67,-50.5,0.54
ATUL,ATUL LTD.,A ,10.00,Specialty Chemicals,Commodities,9387.6,9380.25,9450.0,9322.35,9401.71,10975.4,7757.0,"10,313.20(10%)","8,438.10(10%)",,,1.06,27739.78,15256.88,1.0,206.68,257.67,45.36,6.41,14.13,
ATVPR,ATV PROJECTS INDIA LTD.,XT,10.00,Industrial Equipments,Industrials,9.83,9.35,10.29,9.35,9.76,17.75,6.48,10.30(5%),9.32(5%),0.18,0.1,,52.11,38.04,10.0,1.51,1.68,6.52,0.28,4.28,1.02
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,A ,2.00,Household Appliances,Consumer Discretionary,1142.2,1145.3,1147.45,1125.0,1134.66,1588.55,857.55,"1,358.00(20%)",905.40(20%),,,,13003.75,4811.39,10.0,13.36,18.3,84.71,7.29,8.6,25.78
BAJAJHIND,Bajaj Hindusthan Sugar Limited,A ,1.00,Sugar,Fast Moving Consumer Goods,10.84,10.85,11.31,10.85,11.1,22.58,9.7,13.15(20%),8.77(20%),26.39,12.66,1.4,1399.99,993.99,1.0,-1.71,-0.03,-6.41,0.49,-7.58,
FORCEMOT,FORCE MOTORS LTD.-$,A ,10.00,Passenger Cars & Utility Vehicles,Consumer Discretionary,1047.95,1079.3,1079.3,1043.15,1060.1,1740.0,918.85,"1,257.10(20%)",838.10(20%),,,,1365.33,505.17,4.0,-56.62,88.3,-18.5,0.77,-4.17,56.1
BAJFINANCE,Bajaj Finance Limited,A ,2.00,Non Banking Financial Company (NBFC),Financial Services,7318.4,7305.0,7367.85,7273.2,7328.94,8043.5,5235.6,"8,033.50(10%)","6,572.90(10%)",0.96,0.39,28.38,442157.08,194549.11,2.0,129.88,136.07,56.23,10.51,18.7,
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,A ,1.00,Sugar,Fast Moving Consumer Goods,364.85,360.0,367.05,347.4,356.46,525.7,297.8,385.20(10%),315.20(10%),1.53,4.42,15.76,7145.48,4072.92,2.0,25.22,30.8,13.88,2.59,18.66,
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,B ,2.00,Auto Components & Equipments,Consumer Discretionary,192.6,193.15,196.75,192.5,193.6,225.0,118.2,234.05(20%),156.05(20%),0.85,1.22,2.37,1394.97,418.49,10.0,11.98,14.74,16.28,2.04,12.5,
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,A ,10.00,Paper & Paper Products,Commodities,847.05,849.9,850.0,835.75,844.19,1025.0,686.5,"1,012.85(20%)",675.25(20%),0.4,,,9427.67,4525.28,2.0,20.99,41.31,40.21,2.41,5.98,27.55
BANARISUG,BANNARI AMMAN SUGARS LTD.,A ,10.00,Sugar,Fast Moving Consumer Goods,2405.35,2497.95,2506.95,2420.8,2481.37,3049.05,1709.95,"2,994.60(20%)","1,996.40(20%)",,,,3129.28,657.15,1.0,63.78,117.9,39.12,2.2,5.62,1.61
BASF,BASF INDIA LTD.,A ,10.00,Specialty Chemicals,Commodities,2916.2,2885.0,2960.0,2885.0,2934.43,3926.95,2330.7,"3,510.65(20%)","2,340.45(20%)",,,,12663.43,3292.49,5.0,137.3,177.38,21.31,5.42,25.44,90.5
BATAINDIA,BATA INDIA LTD.,A ,5.00,Footwear,Consumer Discretionary,1913.35,1939.0,1939.0,1896.65,1912.9,2261.65,1608.0,"2,091.75(10%)","1,711.45(10%)",0.21,,1.37,24440.8,11487.17,5.0,7.85,26.67,242.26,13.47,5.56,
BEML,BEML LTD.,A ,10.00,Construction Vehicles,Industrials,1434.9,1400.0,1437.15,1400.0,1419.47,2084.0,1106.4,"1,703.15(20%)","1,135.45(20%)",0.14,,1.24,5910.6,2718.88,10.0,34.84,50.57,40.74,2.56,6.29,
BEL,BHARAT ELECTRONICS LTD.,A ,1.00,Aerospace & Defense,Industrials,284.1,285.45,285.45,267.25,276.1,287.75,162.4,303.40(10%),248.30(10%),5.08,7.41,20.47,67213.42,32934.57,10.0,11.37,12.93,24.27,5.61,23.11,
BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,A ,1.00,Specialty Chemicals,Commodities,111.5,111.0,113.8,111.0,112.22,221.8,98.0,134.85(20%),89.95(20%),0.3,0.2,,1864.78,764.56,10.0,19.28,19.88,5.83,1.9,32.63,22.55
BIHSPONG,BIHAR SPONGE IRON LTD.,XT,10.00,Sponge Iron,Commodities,8.95,9.15,9.29,8.8,8.96,16.23,7.53,9.26(5%),8.38(5%),0.11,0.24,,79.56,24.66,10.0,0.92,1.25,9.62,-1.06,-10.97,2.15
BIRLACABLE,Birla Cable Ltd,B ,10.00,Telecom -  Equipment & Accessories,Telecommunication,129.5,129.45,133.5,126.7,129.65,177.7,72.6,153.05(20%),102.05(20%),0.22,0.24,,382.65,122.45,10.0,7.25,10.83,17.6,2.05,11.65,31.01
BLUESTARCO,BLUE STAR LTD.,A ,2.00,Air Conditioner,Consumer Discretionary,1000.85,1031.0,1057.9,985.9,1002.45,1224.7,740.05,"1,185.30(20%)",790.20(20%),,0.18,1.77,9513.4,5803.18,10.0,19.3,27.93,51.18,9.43,18.44,
DISAQ,DISA INDIA LTD.,X ,10.00,Industrial Machinery,Industrials,8077.55,8200.0,8345.0,7950.0,8029.5,8472.0,4870.0,"9,570.70(20%)","6,380.50(20%)",,,,1159.82,278.36,2.0,257.46,280.43,30.98,5.75,18.55,29.15
QUESTCAP,Quest Capital Markets Ltd,X ,10.00,Other Capital Market related Services,Financial Services,240.3,237.5,249.35,237.5,241.52,374.9,180.6,262.70(10%),215.00(10%),,,,238.85,31.05,10.0,21.99,22.12,10.86,0.29,2.69,0.61
BPL,BPL LTD.,B ,10.00,Consumer Electronics,Consumer Discretionary,67.9,68.75,70.0,67.55,68.14,176.65,30.0,74.60(10%),61.10(10%),,,,331.83,122.78,10.0,-3.56,-3.22,-19.04,2.21,-11.6,3.36
OAL,Oriental Aromatics Ltd-$,B ,5.00,Specialty Chemicals,Commodities,522.45,524.15,527.2,516.05,519.8,1148.0,501.5,621.35(20%),414.25(20%),,,,1742.58,418.22,5.0,11.82,17.06,43.79,2.87,6.56,11.15
CENTEXT,CENTURY EXTRUSIONS LTD.,B ,1.00,Aluminium- Copper & Zinc Products,Industrials,10.12,10.05,10.37,9.9,10.11,15.77,7.92,12.30(20%),8.20(20%),0.3,0.19,,82,38.54,10.0,0.77,1.2,13.29,1.38,10.42,1.93
CESC,CESC LTD.,A ,1.00,Electric Utilities,Utilities,79.85,81.4,81.4,79.25,79.77,102.45,68.0,95.45(20%),63.65(20%),0.81,0.42,,9938.65,4770.55,10.0,6.16,9.71,12.92,1.06,8.2,33.76
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,A ,10.00,Fertilizers,Commodities,320.05,323.9,328.0,320.5,323.59,515.95,260.75,354.05(10%),289.75(10%),1.36,0.85,2.75,13396.74,5090.76,10.0,32.47,39.74,9.91,2.17,21.86,
EXIDEIND,EXIDE INDUSTRIES LTD.,A ,1.00,Batteries - Automobile,Consumer Discretionary,156.5,156.0,158.2,156.0,157.1,202.95,130.3,172.00(10%),140.80(10%),2.93,1.54,2.42,13294,7045.82,1.0,56.29,61.24,2.78,1.25,45.11,
CIPLA,CIPLA LTD.,A ,2.00,Pharmaceuticals,Healthcare,1044.45,1044.0,1045.95,1032.75,1037.89,1083.15,850.0,"1,137.65(10%)",930.85(10%),1.24,0.3,3.11,83463.2,55085.71,1.0,36.25,42.42,28.53,3.71,12.99,
DICIND,DIC INDIA LTD.,B ,10.00,Printing Inks,Commodities,375.0,375.0,390.0,373.8,380.13,528.0,321.0,459.35(20%),306.25(20%),,,,351.37,98.38,10.0,11.08,26.58,34.56,0.91,2.63,0.32
CRISIL,CRISIL LTD.,A ,1.00,Other Financial Services,Financial Services,3185.7,3194.85,3210.0,3164.25,3189.78,3860.0,2425.45,"3,828.15(20%)","2,552.15(20%)",,,2.08,23302.34,7689.77,2.0,52.33,59.38,60.96,25.66,42.09,
CGPOWER,CG Power and Industrial Solutions Ltd,B ,2.00,Heavy Electrical Equipment,Industrials,228.0,228.0,234.0,226.35,229.52,238.75,74.05,278.25(20%),185.55(20%),1.52,0.82,1.89,35412.91,15227.55,2.0,4.5,4.98,51.57,19.47,37.74,
DABUR,DABUR INDIA LTD.,A ,1.00,Personal Care,Fast Moving Consumer Goods,574.15,574.0,581.85,573.1,577.35,658.75,482.2,637.45(10%),521.55(10%),1.57,0.7,4.02,102671.63,32854.92,1.0,8.09,8.99,71.65,17.51,24.44,
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,A ,2.00,Sugar,Fast Moving Consumer Goods,350.7,352.05,354.8,339.3,346.11,568.65,282.1,413.60(20%),275.80(20%),0.24,0.25,,2789.98,641.69,10.0,27,39.53,12.77,1.21,9.44,87.5
ARVIND,ARVIND LTD.,A ,10.00,Garments & Apparels,Consumer Discretionary,96.4,96.8,97.8,95.85,96.87,158.65,82.0,115.35(20%),76.95(20%),1.87,0.71,,2507.94,1454.6,10.0,8.94,17.03,10.75,0.83,7.75,68.33
BHEL,BHARAT HEAVY ELECTRICALS LTD.,A ,2.00,Heavy Electrical Equipment,Industrials,52.65,52.05,52.75,51.5,52.02,78.65,41.4,56.80(10%),46.50(10%),15.58,17.27,8.98,17984.86,6654.4,2.0,1.91,2.68,27.09,0.67,2.46,
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,A ,10.00,Refineries & Marketing,Energy,244.8,245.65,251.4,242.25,248.07,354.55,206.7,275.75(10%),225.65(10%),2.49,4.21,10.44,35563.01,16003.35,10.0,44.99,72.97,5.57,0.92,16.5,
IFCI,IFCI LTD.,A ,10.00,Financial Institution,Financial Services,10.25,10.35,10.78,10.21,10.51,18.87,8.3,12.49(20%),8.33(20%),9.57,17.96,1.89,2189.21,766.22,10.0,-9.9,-9.79,-1.05,4.91,-467.39,
MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,A ,10.00,Telecom - Cellular & Fixed line services,Telecommunication,22.95,23.2,24.7,22.85,23.99,40.85,16.7,29.00(20%),19.40(20%),8.24,9.43,2.26,1524.6,655.58,1.0,-41.31,-29.26,-0.59,-0.08,13.95,
MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,A ,10.00,Refineries & Marketing,Energy,72.5,73.9,73.9,71.65,72.3,127.6,37.1,86.25(20%),57.55(20%),5.18,5.02,3.63,12601.19,1260.12,10.0,36.76,42.13,1.96,1.75,89.52,
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,A ,10.00,Refineries & Marketing,Energy,266.9,270.0,272.0,267.0,269.36,417.95,94.65,323.15(20%),215.45(20%),1.49,0.73,1.97,4010.18,1283.26,10.0,244.94,279.76,1.1,1.44,130.72,
RELCAPITAL,RELIANCE CAPITAL LTD.,T ,10.00,Investment Company,Financial Services,13.67,13.68,14.35,13.68,14.27,25.55,11.62,15.05(5%),13.63(5%),1.85,2.93,,362.38,351.51,10.0,24.1,24.65,0.6,0.03,4.58,41.82
SBIN,STATE BANK OF INDIA,A ,1.00,Public Sector Bank,Financial Services,532.9,535.0,542.75,529.0,537.5,549.05,401.3,583.70(10%),477.60(10%),7.89,5.31,28.53,473584.52,203641.34,10.0,35.49,35.49,14.95,1.69,11.31,
SAIL,STEEL AUTHORITY OF INDIA LTD.,A ,10.00,Iron & Steel,Commodities,77.0,77.0,78.45,77.0,77.84,144.15,63.6,85.30(10%),69.80(10%),18.78,19.59,15.24,32028.86,11210.1,1.0,29.09,39.44,2.67,0.62,23.1,
TITAN,Titan Company Limited,A ,1.00,Gems- Jewellery And Watches,Consumer Discretionary,2423.2,2430.0,2471.7,2417.6,2442.41,2767.55,1764.25,"2,675.80(10%)","2,189.30(10%)",0.87,0.57,13.86,215958.42,101500.46,1.0,24.56,28.47,99.06,23.04,23.26,
IDBI,IDBI BANK LTD.,A ,10.00,Private Sector Bank,Financial Services,41.7,41.5,41.7,40.5,41.09,65.25,30.5,48.90(20%),32.60(20%),13.73,11.88,4.88,43816.04,2190.8,10.0,2.41,2.41,16.9,1.05,6.22,
DCW,DCW LTD.,B ,2.00,Petrochemicals,Commodities,37.35,38.7,38.7,37.25,38.02,65.95,31.95,45.20(20%),30.20(20%),1.83,4.03,1.53,1046.92,544.4,10.0,3.87,7.06,9.74,1.31,13.41,
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,A ,10.00,Sugar,Fast Moving Consumer Goods,226.6,225.35,234.45,225.35,229.33,515.67,198.45,273.80(20%),182.60(20%),0.39,0.31,,1514.96,772.63,10.0,25.93,35.5,8.8,1.71,19.37,70.04
DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,X ,10.00,Specialty Chemicals,Commodities,367.45,367.1,374.95,355.05,365.93,377.0,229.0,446.70(20%),297.80(20%),0.37,0.18,,364.18,156.6,10.0,17.09,18.8,21.78,3.63,16.68,66.2
ELANTAS,ELANTAS BECK INDIA LTD.-$,B ,10.00,Specialty Chemicals,Commodities,4150.4,4151.05,4160.0,4110.5,4137.91,4410.0,2851.25,"4,980.00(20%)","3,320.00(20%)",,,,3289.99,822.5,10.0,101.5,117.14,40.89,6.04,14.77,15.06
DRREDDY,DR.REDDY'S LABORATORIES LTD.,A ,5.00,Pharmaceuticals,Healthcare,4146.85,4147.0,4193.25,4147.0,4170.36,5078.8,3655.0,"4,571.60(10%)","3,740.40(10%)",0.37,,3.65,69169.51,50493.75,1.0,102.7,153.09,40.47,3.77,9.32,
EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,A ,1.00,Other Agricultural Products,Fast Moving Consumer Goods,551.85,551.85,558.25,548.45,553.44,580.7,377.1,662.60(20%),441.80(20%),0.29,0.14,,9798.25,5389.04,10.0,15.98,22.75,34.56,3.55,10.27,80.13
PGHL,Procter & Gamble Health Ltd,A ,10.00,Pharmaceuticals,Healthcare,4431.85,4448.5,4486.0,4411.6,4460.16,5850.0,3925.3,"5,314.70(20%)","3,543.20(20%)",,,,7351.78,3528.86,2.0,111.61,127.73,39.68,12.52,31.55,8.7
ELECTCAST,ELECTROSTEEL CASTINGS LTD.,B ,1.00,Castings & Forgings,Industrials,34.4,34.95,35.3,34.35,34.89,48.0,26.4,41.40(20%),27.60(20%),1.07,0.45,,2051.39,1148.78,2.0,4.35,5.79,7.93,0.51,6.49,15.69
ESABINDIA,ESAB INDIA LTD.,A ,10.00,Other Industrial Products,Industrials,3163.8,3163.0,3208.5,3105.0,3151.41,4160.35,1863.0,"3,730.25(20%)","2,486.85(20%)",,,,4785,1244.1,10.0,54.77,62.13,56.75,19.59,34.52,15.85
EPL,EPL Ltd,A ,2.00,Packaging,Industrials,166.1,166.15,168.65,165.2,166.75,259.2,147.35,199.10(20%),132.80(20%),2.57,,,5241.87,2096.75,5.0,5.35,7.77,31.04,6.61,21.31,15.68
ESTER,ESTER INDUSTRIES LTD.,B ,5.00,Packaging,Industrials,131.3,131.95,135.0,130.95,133.06,187.8,112.5,160.20(20%),106.80(20%),,0.16,,1113.31,278.33,10.0,16.65,21.28,8.02,1.77,22.1,21.75
FGP,FGP LTD.,X ,10.00,Non Banking Financial Company (NBFC),Financial Services,7.59,7.9,7.9,7.4,7.77,14.98,1.99,9.18(20%),6.12(20%),,,,9.1,5.37,10.0,0.79,0.8,9.63,2.33,24.14,0.25
PHCAP,PH CAPITAL LTD.,X ,10.00,Investment Company,Financial Services,82.95,81.3,85.5,77.0,80.13,220.55,46.0,86.45(10%),70.75(10%),,,,23.58,6.13,10.0,38.69,38.94,2.03,0.78,38.42,1.49
FINCABLES,FINOLEX CABLES LTD.,A ,2.00,Cables - Electricals,Industrials,424.95,426.0,432.65,425.95,429.31,608.65,344.0,515.50(20%),343.70(20%),0.29,,,6570.27,3219.43,10.0,26.46,29,16.24,2.01,12.4,42.39
COCKERILL,John Cockerill India Ltd-$,X ,10.00,Industrial Machinery,Industrials,1068.75,1070.0,1105.0,1050.0,1085.53,1835.0,862.85,"1,322.30(20%)",881.60(20%),,,,544.12,136.03,5.0,9.4,18.84,117.27,3.02,2.57,11.42
UFLEX,UFLEX LTD.,A ,10.00,Packaging,Industrials,625.3,629.8,637.9,623.95,630.61,719.0,427.05,753.60(20%),502.40(20%),0.11,,,4534.88,1950,2.0,30.79,65.85,20.4,1.69,8.29,53.92
FOSECOIND,FOSECO INDIA LTD.,B ,10.00,Specialty Chemicals,Commodities,1790.9,1807.6,1836.0,1750.0,1795.99,1940.0,1245.4,"2,123.50(20%)","1,415.70(20%)",,,,1130.15,158.22,10.0,62.43,72.4,28.34,5.24,18.49,3.54
GOLDENTOBC,GOLDEN TOBACCO LTD.,T ,10.00,Residential- Commercial Projects,Consumer Discretionary,84.3,82.35,85.85,82.2,83.2,189.85,69.15,87.70(5%),79.40(5%),,,,147.12,102.99,10.0,1.54,1.82,54.37,-0.97,-1.79,2.07
GANESHBE,GANESH BENZOPLAST LTD.,B ,1.00,Oil Storage & Transportation,Energy,138.2,141.0,141.0,135.05,136.71,144.65,65.55,162.45(20%),108.35(20%),0.38,0.23,,844.35,346.18,1.0,5.14,7.18,26.35,2.99,11.36,31.41
METROGLOBL,Metroglobal Limited,X ,10.00,Trading & Distributors,Services,81.05,82.5,84.9,78.0,81.54,101.0,68.4,98.30(20%),65.60(20%),,,,101.08,25.27,10.0,9.6,10.33,8.54,0.29,3.35,1.97
GTL,GTL LTD.,B ,10.00,Other Telecom Services,Telecommunication,9.07,9.39,9.39,8.93,9.04,27.6,7.78,9.47(5%),8.57(5%),1.14,1.24,,141.88,122.02,10.0,27.46,27.74,0.33,-0.02,-6.87,11.16
GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,A ,2.00,Cigarettes & Tobacco Products,Fast Moving Consumer Goods,1184.85,1188.35,1196.95,1173.05,1187.59,1409.85,937.3,"1,415.50(20%)",943.70(20%),,,,6133.2,1655.96,5.0,88.48,116.49,13.33,2.25,16.89,16.13
GODREJIND,GODREJ INDUSTRIES LTD.,A ,1.00,Animal Feed,Fast Moving Consumer Goods,447.3,451.9,457.0,449.1,454.07,661.55,405.0,543.70(20%),362.50(20%),,,,15253.08,2898.09,1.0,-1.31,0.91,-345.12,10.28,-2.98,13.72
KANSAINER,KANSAI NEROLAC PAINTS LTD.,A ,1.00,Paints,Consumer Discretionary,500.2,507.95,513.95,495.05,500.65,674.15,358.05,599.55(20%),399.75(20%),0.63,0.13,,26927.12,6731.78,10.0,7.76,10.65,64.37,6.46,10.03,64.64
GOODRICKE,GOODRICKE GROUP LTD.,X ,10.00,Tea & Coffee,Fast Moving Consumer Goods,246.75,248.0,257.0,240.0,249.3,303.0,191.0,291.45(20%),194.35(20%),,0.14,,524.66,131.17,2.0,2.44,12.27,99.56,1.63,1.63,35.6
GOODYEAR,GOODYEAR INDIA LTD.,B ,10.00,Tyres & Rubber Products,Consumer Discretionary,1010.25,1010.55,1019.0,1008.6,1014.08,1198.0,844.0,"1,214.30(20%)",809.60(20%),,,,2334.22,560.21,10.0,49.31,71.88,20.52,3.27,15.91,42.25
GTNINDS,GTN INDUSTRIES LTD.,X ,10.00,Other Textile Products,Consumer Discretionary,48.25,49.9,49.9,47.6,47.95,68.0,14.9,52.35(10%),42.85(10%),0.12,,,83.49,20.87,10.0,19.75,23.1,2.41,1.04,43.03,1.83
GHCL,GHCL LTD.,A ,10.00,Commodity Chemicals,Commodities,610.7,612.0,622.85,602.4,612.68,695.1,310.0,725.50(20%),483.70(20%),0.56,0.32,1.97,5779.12,4565.5,10.0,91.84,104.8,6.58,1.87,28.41,
GFLLIMITED,GFL Ltd,B ,1.00,Holding Company,Financial Services,76.65,78.85,82.0,76.2,80.1,94.1,58.25,96.40(20%),64.30(20%),0.28,0.38,,882.64,273.62,10.0,0.09,0.09,909.94,2.83,0.31,30.52
GLFL,GUJARAT LEASE FINANCING LTD.,B ,10.00,Other Financial Services,Financial Services,2.89,2.96,3.03,2.96,3.03,5.0,1.94,3.18(5%),2.88(5%),,,,8.22,4.44,10.0,-0.04,-0.03,-81.38,-1.86,2.29,0.02
HCL-INSYS,HCL INFOSYSTEMS LTD.,B ,2.00,Computers Hardware & Equipments,Information Technology,17.25,17.3,17.45,16.95,17.23,31.35,11.85,20.75(20%),13.85(20%),1.81,1.2,,569.53,193.64,10.0,0.75,0.79,23.08,-2.59,-11.2,20.63
HDFCBANK,HDFC Bank Ltd,A ,1.00,Private Sector Bank,Financial Services,1430.35,1430.0,1436.2,1421.45,1429.31,1724.3,1271.75,"1,569.20(10%)","1,283.90(10%)",3.1,1.33,18.98,792860.45,626359.75,10.0,69.18,69.18,20.62,3.3,16.01,
HEROMOTOCO,HERO MOTOCORP LTD.,A ,2.00,2/3 Wheelers,Consumer Discretionary,2806.55,2840.0,2840.0,2762.0,2781.06,2952.6,2148.0,"3,046.15(10%)","2,492.35(10%)",0.28,,2.76,55334.78,35967.61,1.0,123.76,156.28,22.38,3.51,15.67,
HFCL,HFCL Ltd,A ,1.00,Telecom - Infrastructure,Telecommunication,65.9,66.4,69.8,65.75,68.22,101.35,51.55,81.65(20%),54.45(20%),10.83,19.6,13.37,9375.65,5719.14,10.0,1.82,2.24,37.46,3.44,9.17,
HSCL,Himadri Speciality Chemical Ltd,A ,1.00,Specialty Chemicals,Commodities,87.55,88.7,98.0,88.2,95.11,98.0,41.6,112.50(20%),75.00(20%),8.35,31.76,30.21,3931.31,2122.91,2.0,1.55,2.66,60.43,2.18,3.61,
HCC,HINDUSTAN CONSTRUCTION CO.LTD.,A ,1.00,Engineering- Designing & Construction,Industrials,12.82,12.6,12.75,12.21,12.52,20.03,8.89,14.79(20%),9.87(20%),14.34,14.22,1.78,1865.56,1212.62,10.0,-1.72,-1.13,-7.16,3.98,-55.66,
HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,A ,10.00,Oil Exploration & Production,Energy,164.85,163.25,165.75,163.25,164.71,245.15,138.0,197.50(20%),131.70(20%),0.37,0.17,,2176.72,1545.47,10.0,2.71,3.83,60.76,2.84,4.68,28.42
AGI,Agi Greenpac Ltd,A ,2.00,Packaging,Industrials,271.7,276.9,279.7,271.8,274.84,385.0,178.75,327.50(20%),218.40(20%),0.28,0.14,,1765.92,688.71,10.0,38.99,57.31,7,1.27,18.12,39.31
HINDZINC,HINDUSTAN ZINC LTD.,A ,2.00,Zinc,Commodities,270.95,273.2,276.2,270.1,274.2,407.9,242.4,326.70(20%),217.80(20%),0.67,0.33,,115034.31,6902.06,2.0,25.42,32.49,10.71,3.36,31.33,91.8
NXTDIGITAL,Nxtdigital Ltd,B ,10.00,TV Broadcasting & Software Production,Consumer Discretionary,407.1,405.0,412.65,397.9,408.02,521.09,320.0,489.30(20%),326.20(20%),,,,1372.96,356.97,2.0,-12.31,39.92,-33.12,0.7,-2.11,10.45
HMT,HMT LTD.,Z ,10.00,Industrial Machinery,Industrials,24.2,24.25,24.25,23.3,23.96,34.0,22.1,25.05(5%),22.75(5%),,,,1124.9,67.49,10.0,0.32,0.33,75.02,6.75,8.99,0.21
PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,XT,10.00,Other Textile Products,Consumer Discretionary,2.4,2.4,2.52,2.4,2.5,6.8,1.75,2.63(5%),2.39(5%),0.1,0.15,,18.67,9.52,10.0,-3.33,-2.7,-0.75,0.65,-85.87,0.38
HLVLTD,HLV Ltd,B ,2.00,Hotels & Resorts,Consumer Discretionary,9.37,9.69,9.69,9.3,9.38,12.99,7.42,11.23(20%),7.49(20%),0.37,0.61,,617.07,111.07,10.0,-0.64,-0.45,-14.52,1.5,-10.31,5.71
IGPL,I G PETROCHEMICALS LTD.,B ,10.00,Commodity Chemicals,Commodities,631.65,634.0,669.55,623.85,647.99,1017.9,512.55,755.50(20%),503.70(20%),,0.2,1.3,1938.84,562.26,1.0,86.61,101.01,7.27,1.83,25.14,
INDIAGLYCO,INDIA GLYCOLS LTD.,A ,10.00,Commodity Chemicals,Commodities,853.3,858.75,860.35,835.1,847.59,1153.1,599.05,"1,008.70(20%)",672.50(20%),0.11,,,2602.62,989,10.0,92.18,116.72,9.12,1.72,18.88,48.33
